video_path,start,end,label
./Solid/videos/018B0D8D-B5EC-09D6-90ED-550058EBFEAF_solid_015529D9-2867-69C8-9C53-CFA6FDCE54A5.webm,0.0,6.0,up
./Solid/videos/018B0D8D-B5EC-09D6-90ED-550058EBFEAF_solid_015529D9-2867-69C8-9C53-CFA6FDCE54A5.webm,1.0,7.0,up
./Solid/videos/018B0D8D-B5EC-09D6-90ED-550058EBFEAF_solid_015529D9-2867-69C8-9C53-CFA6FDCE54A5.webm,2.0,8.0,up
./Solid/videos/018B0D8D-B5EC-09D6-90ED-550058EBFEAF_solid_015529D9-2867-69C8-9C53-CFA6FDCE54A5.webm,3.0,9.0,up
./Solid/videos/018B0D8D-B5EC-09D6-90ED-550058EBFEAF_solid_015529D9-2867-69C8-9C53-CFA6FDCE54A5.webm,4.0,10.0,up
./Solid/videos/018B0D8D-B5EC-09D6-90ED-550058EBFEAF_solid_015529D9-2867-69C8-9C53-CFA6FDCE54A5.webm,5.0,11.0,up
./Solid/videos/018B0D8D-B5EC-09D6-90ED-550058EBFEAF_solid_015529D9-2867-69C8-9C53-CFA6FDCE54A5.webm,6.0,12.0,up
./Solid/videos/018B0D8D-B5EC-09D6-90ED-550058EBFEAF_solid_015529D9-2867-69C8-9C53-CFA6FDCE54A5.webm,7.0,13.0,up
./Solid/videos/018B0D8D-B5EC-09D6-90ED-550058EBFEAF_solid_015529D9-2867-69C8-9C53-CFA6FDCE54A5.webm,8.0,14.0,down
./Solid/videos/018B0D8D-B5EC-09D6-90ED-550058EBFEAF_solid_015529D9-2867-69C8-9C53-CFA6FDCE54A5.webm,9.0,15.0,down
./Solid/videos/018B0D8D-B5EC-09D6-90ED-550058EBFEAF_solid_015529D9-2867-69C8-9C53-CFA6FDCE54A5.webm,10.0,16.0,down
./Solid/videos/018B0D8D-B5EC-09D6-90ED-550058EBFEAF_solid_015529D9-2867-69C8-9C53-CFA6FDCE54A5.webm,11.0,17.0,down
./Solid/videos/018B0D8D-B5EC-09D6-90ED-550058EBFEAF_solid_015529D9-2867-69C8-9C53-CFA6FDCE54A5.webm,12.0,18.0,down
./Solid/videos/018B0D8D-B5EC-09D6-90ED-550058EBFEAF_solid_015529D9-2867-69C8-9C53-CFA6FDCE54A5.webm,13.0,19.0,down
./Solid/videos/018B0D8D-B5EC-09D6-90ED-550058EBFEAF_solid_015529D9-2867-69C8-9C53-CFA6FDCE54A5.webm,14.0,20.0,up
./Solid/videos/018B0D8D-B5EC-09D6-90ED-550058EBFEAF_solid_015529D9-2867-69C8-9C53-CFA6FDCE54A5.webm,15.0,21.0,up
./Solid/videos/018B0D8D-B5EC-09D6-90ED-550058EBFEAF_solid_015529D9-2867-69C8-9C53-CFA6FDCE54A5.webm,16.0,22.0,up
